global_step,epoch,lr,train_loss,val_loss
408,0,0.00029991863218779613,1.28706276,
409,0,0.00029991784799585395,1.26699400,
410,0,0.00029991706004417614,1.28714788,
411,0,0.0002999162683327823,1.40130103,
412,0,0.00029991547286169256,1.32194984,
413,0,0.0002999146736309267,1.23422647,
414,0,0.00029991387064050475,1.26323128,
415,0,0.0002999130638904469,1.33488822,
416,0,0.0002999122533807733,1.26732326,
417,0,0.0002999114391115044,1.26183712,
418,0,0.00029991062108266053,1.25221193,
419,0,0.0002999097992942623,1.28223395,
420,0,0.0002999089737463302,1.24547601,
421,0,0.00029990814443888494,1.24065220,
422,0,0.00029990731137194746,1.26229274,
423,0,0.00029990647454553856,1.24169350,
424,0,0.0002999056339596792,1.23955429,
425,0,0.00029990478961439045,1.24069464,
426,0,0.0002999039415096935,1.25689220,
427,0,0.00029990308964560975,1.23895216,
428,0,0.0002999022340221604,1.28101540,
429,0,0.00029990137463936693,1.23217273,
430,0,0.000299900511497251,1.22663438,
431,0,0.0002998996445958341,1.23612165,
432,0,0.0002998987739351381,1.22215402,
433,0,0.00029989789951518476,1.19904912,
434,0,0.00029989702133599604,1.27323008,
435,0,0.000299896139397594,1.23643732,
436,0,0.0002998952537000007,1.20103240,
437,0,0.0002998943642432383,1.19550264,
438,0,0.0002998934710273293,1.20469856,
439,0,0.0002998925740522959,1.17560339,
440,0,0.00029989167331816066,1.24800074,
441,0,0.0002998907688249462,1.15887821,
442,0,0.00029988986057267515,1.22774708,
443,0,0.0002998889485613704,1.15327609,
444,0,0.0002998880327910547,1.24129546,
445,0,0.00029988711326175104,1.21635008,
446,0,0.0002998861899734825,1.25842035,
447,0,0.0002998852629262723,1.22195876,
448,0,0.00029988433212014355,1.23261559,
449,0,0.0002998833975551197,1.18905830,
450,0,0.0002998824592312242,1.13543880,
451,0,0.00029988151714848045,1.14998496,
452,0,0.00029988057130691224,1.23940432,
453,0,0.00029987962170654315,1.22347927,
454,0,0.00029987866834739707,1.24207067,
455,0,0.0002998777112294979,1.27154064,
456,0,0.00029987675035286966,1.19422817,
457,0,0.00029987578571753645,1.17961478,
458,0,0.0002998748173235224,1.13639247,
459,0,0.00029987384517085185,1.18296504,
460,0,0.0002998728692595492,1.16805375,
461,0,0.0002998718895896388,1.16411173,
462,0,0.0002998709061611454,1.17861569,
463,0,0.0002998699189740935,1.16827118,
464,0,0.000299868928028508,1.20764494,
465,0,0.0002998679333244137,1.18936038,
466,0,0.00029986693486183544,1.23984337,
467,0,0.00029986593264079843,1.23206270,
468,0,0.00029986492666132764,1.16971946,
469,0,0.0002998639169234484,1.23137093,
470,0,0.00029986290342718606,1.18659389,
471,0,0.00029986188617256595,1.16780066,
472,0,0.0002998608651596136,1.17270958,
473,0,0.0002998598403883547,1.15006042,
474,0,0.00029985881185881484,1.12684798,
475,0,0.00029985777957101993,1.17898250,
476,0,0.0002998567435249957,1.10151792,
477,0,0.00029985570372076826,1.13396645,
478,0,0.00029985466015836364,1.20001113,
479,0,0.00029985361283780805,1.14751804,
480,0,0.0002998525617591277,1.17783463,
481,0,0.00029985150692234895,1.13100624,
482,0,0.00029985044832749833,1.13315666,
483,0,0.0002998493859746023,1.11982167,
484,0,0.0002998483198636876,1.12781978,
485,0,0.00029984724999478085,1.14508855,
486,0,0.0002998461763679089,1.17212844,
487,0,0.0002998450989830988,1.16319454,
488,0,0.00029984401784037746,1.12718713,
489,0,0.00029984293293977197,1.11592436,
490,0,0.0002998418442813096,1.15244782,
491,0,0.0002998407518650177,1.15652287,
492,0,0.0002998396556909235,1.12175882,
493,0,0.00029983855575905463,1.07132876,
494,0,0.00029983745206943864,1.11551130,
495,0,0.0002998363446221032,1.13801444,
496,0,0.00029983523341707617,1.16063428,
497,0,0.00029983411845438526,1.11459565,
498,0,0.0002998329997340585,1.17417216,
499,0,0.00029983187725612394,1.09804571,
500,0,0.0002998307510206098,1.12517178,
501,0,0.00029982962102754427,1.11938632,
502,0,0.00029982848727695563,1.10440040,
503,0,0.0002998273497688724,1.05240059,
504,0,0.0002998262085033231,1.10117555,
505,0,0.00029982506348033626,1.12562704,
506,0,0.00029982391469994074,1.10208166,
507,0,0.00029982276216216524,1.12954545,
508,0,0.00029982160586703875,1.12785888,
509,0,0.0002998204458145901,1.10817158,
510,0,0.0002998192820048486,1.09996617,
511,0,0.0002998181144378433,1.09860229,
512,0,0.00029981694311360355,1.08194876,
513,0,0.00029981576803215864,1.09224999,
514,0,0.00029981458919353817,1.09745109,
515,0,0.0002998134065977715,1.08220422,
516,0,0.0002998122202448885,1.11840773,
517,0,0.00029981103013491885,1.15141642,
518,0,0.0002998098362678924,1.07729971,
519,0,0.00029980863864383897,1.07144880,
520,0,0.0002998074372627888,1.08790362,
521,0,0.00029980623212477183,1.10579157,
522,0,0.00029980502322981845,1.08749843,
523,0,0.00029980381057795883,1.12503541,
524,0,0.0002998025941692235,1.05840886,
525,0,0.0002998013740036429,1.05424237,
526,0,0.00029980015008124764,1.08108926,
527,0,0.0002997989224020684,1.10288370,
528,0,0.000299797690966136,1.09997332,
529,0,0.0002997964557734813,1.13259625,
530,0,0.0002997952168241353,1.09585488,
531,0,0.00029979397411812906,1.06667125,
532,0,0.00029979272765549375,1.12559485,
533,0,0.0002997914774362606,1.05432916,
534,0,0.000299790223460461,1.12442720,
535,0,0.00029978896572812637,1.06265342,
536,0,0.00029978770423928834,1.06852484,
537,0,0.0002997864389939784,1.06352878,
538,0,0.0002997851699922284,1.08633113,
539,0,0.00029978389723407005,1.08799040,
540,0,0.0002997826207195354,1.08574009,
541,0,0.00029978134044865635,1.07608449,
542,0,0.0002997800564214651,1.04331160,
543,0,0.0002997787686379938,1.08080721,
544,0,0.0002997774770982748,1.08793974,
545,0,0.00029977618180234035,1.12821531,
546,0,0.00029977488275022306,1.05331624,
547,0,0.00029977357994195555,1.02716112,
548,0,0.0002997722733775704,1.01327944,
549,0,0.0002997709630571003,1.03727579,
550,0,0.00029976964898057834,1.06120086,
551,0,0.0002997683311480372,1.05531323,
552,0,0.00029976700955951024,1.06870520,
553,0,0.00029976568421503035,1.05921590,
554,0,0.00029976435511463084,1.01822364,
555,0,0.0002997630222583451,1.05543768,
556,0,0.0002997616856462065,1.03430581,
557,0,0.0002997603452782486,1.04389882,
558,0,0.00029975900115450496,1.07296157,
559,0,0.0002997576532750093,1.06382811,
560,0,0.0002997563016397954,1.03667819,
561,0,0.00029975494624889733,1.00980473,
562,0,0.0002997535871023489,1.07047224,
563,0,0.00029975222420018416,1.06483114,
564,0,0.00029975085754243745,1.03986704,
565,0,0.00029974948712914294,1.00702274,
566,0,0.00029974811296033506,1.02137697,
567,0,0.00029974673503604823,1.04026079,
568,0,0.000299745353356317,1.04570878,
569,0,0.00029974396792117604,1.01437175,
570,0,0.0002997425787306601,1.04526579,
571,0,0.000299741185784804,0.99302644,
572,0,0.0002997397890836427,1.04057586,
573,0,0.0002997383886272112,1.01428270,
574,0,0.0002997369844155446,1.02779901,
575,0,0.0002997355764486782,1.07875943,
576,0,0.0002997341647266472,1.00583363,
577,0,0.00029973274924948714,1.03304803,
578,0,0.0002997313300172334,0.97547507,
579,0,0.0002997299070299216,1.01538765,
580,0,0.00029972848028758745,1.03011894,
581,0,0.0002997270497902667,1.02103019,
582,0,0.0002997256155379953,1.00231814,
583,0,0.00029972417753080914,1.03406584,
584,0,0.00029972273576874426,1.03956556,
585,0,0.0002997212902518369,0.96898377,
586,0,0.00029971984098012326,1.06694436,
587,0,0.00029971838795363973,0.99636519,
588,0,0.0002997169311724227,1.05663264,
589,0,0.00029971547063650875,1.03316104,
590,0,0.0002997140063459345,1.00965369,
591,0,0.0002997125383007366,1.02147639,
592,0,0.00029971106650095197,0.99130106,
593,0,0.00029970959094661743,0.98653567,
594,0,0.00029970811163777003,1.04727769,
595,0,0.0002997066285744469,1.01187897,
